Klasa	Ime	Funkcija
1	Tihomir Oreškoviæ	premijer
2	Tomislav Karamarko	prvi pdpredsjednik vlade
3	Božo Petrov	podpredsjednik vlade
4	Zoran Milanoviæ	saborski zastupnik, bivši premijer
5	Vesna Pusiæ	saborska zastupnica, bivša ministrica vanjskih i europskih poslova
6	Ranko Ostojiæ	saborski zastupnik, bivši ministar unutarnjih poslova
7	Slavko Liniæ	bivši ministar financija
8	Jadranka Kosor	bivša premijerka
9	Petar Èobankoviæ	bivši ministar poljoprivrede, ribarstva i ruralnog razvoja
10	Darko Milinoviæ	saborski zastupnik, bivši ministar zdravstva i socijalne skrbi
11	Ivo Sanader	bivši premijer
12	Damir Polanèec	bivši ministar ministar gospodarstva, rada i poduzetništva
13	Ivan Šuker	saborski zastupnik, bivši ministar financija
14	Željko Reiner	predsjednik sabora
15	Josip Leko	bivši predsjednik sabora
16	Luka Bebiæ	bivši predsjednik sabora
17	Branimir Glavaš	saborski zastupnik
18	Peða Grbin	saborski zastupnik
19	Veljko Kajtazi	saborski zastupnik
20	Drago Prgomet	saborski zastupnik
21	Milorad Pupovac	saborski zastupnik
22	Ingrid Antièeviæ Marinoviæ	saborska zastupnica
23	Ivan Sinèiæ	saborski zastupnik
24	Nenad Staziæ	saborski zastupnik
25	Miroslav Tuðman	saborski zastupnik
26	Milan Bandiæ	gradonaèelnik Zagreba
27	Anto Ðapiæ	bivši gradonaèelnik Osijeka
28	Željko Kerum	bivši gradonaèelnik Splita
29	Kolinda Grabar Kitaroviæ	predsjednica države
30	Ivo Josipoviæ	bivši predsjednik države
31	Stjepan Mesiæ	bivši predsjednik države
32	Vladimir Šeks	bivši predsjednik sabora
